SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1627783,0022201029,"MAR 14, 2023",TOR vs. DEN,W,39,6,16,0.375,0,3,0.0,0,1,0.0,1,7,8,4,1,0,3,4,12,17,1
22022,1627783,0022201003,"MAR 10, 2023",TOR @ LAL,L,37,5,13,0.385,2,5,0.4,0,0,0.0,0,4,4,2,0,1,1,3,12,9,1
22022,1627783,0022200991,"MAR 08, 2023",TOR @ LAC,L,41,9,21,0.429,1,3,0.333,1,2,0.5,2,4,6,5,2,0,3,3,20,-12,1
22022,1627783,0022200975,"MAR 06, 2023",TOR @ DEN,L,37,8,18,0.444,1,2,0.5,2,2,1.0,2,2,4,4,0,1,3,1,19,-2,1
22022,1627783,0022200956,"MAR 04, 2023",TOR @ WAS,W,37,5,10,0.5,0,1,0.0,5,5,1.0,1,3,4,8,4,0,4,5,15,-4,1
22022,1627783,0022200942,"MAR 02, 2023",TOR @ WAS,L,39,6,16,0.375,1,5,0.2,0,0,0.0,3,8,11,6,0,1,4,5,13,-10,1
22022,1627783,0022200925,"FEB 28, 2023",TOR vs. CHI,W,34,7,18,0.389,1,5,0.2,5,6,0.833,3,5,8,3,1,0,1,3,20,3,1
22022,1627783,0022200914,"FEB 26, 2023",TOR @ CLE,L,33,10,24,0.417,4,7,0.571,1,1,1.0,2,6,8,5,0,0,4,2,25,-18,1
22022,1627783,0022200903,"FEB 25, 2023",TOR @ DET,W,35,9,19,0.474,1,2,0.5,10,13,0.769,0,8,8,5,3,2,0,1,29,8,1
22022,1627783,0022200890,"FEB 23, 2023",TOR vs. NOP,W,38,9,21,0.429,1,5,0.2,7,8,0.875,1,3,4,5,0,0,1,2,26,8,1
22022,1627783,0022200868,"FEB 14, 2023",TOR vs. ORL,W,41,10,15,0.667,2,4,0.5,4,6,0.667,0,4,4,6,2,0,3,1,26,8,1
22022,1627783,0022200856,"FEB 12, 2023",TOR vs. DET,W,38,10,19,0.526,1,3,0.333,7,10,0.7,1,3,4,6,0,2,2,2,28,6,1
22022,1627783,0022200839,"FEB 10, 2023",TOR vs. UTA,L,39,12,21,0.571,5,7,0.714,6,7,0.857,1,5,6,4,3,0,3,4,35,-6,1
22022,1627783,0022200826,"FEB 08, 2023",TOR vs. SAS,W,40,15,21,0.714,3,3,1.0,4,5,0.8,1,9,10,7,1,0,2,3,37,22,1
22022,1627783,0022200805,"FEB 05, 2023",TOR @ MEM,W,28,7,17,0.412,2,6,0.333,3,4,0.75,2,4,6,5,1,0,2,5,19,-13,1
22022,1627783,0022200789,"FEB 03, 2023",TOR @ HOU,W,36,10,20,0.5,1,3,0.333,2,3,0.667,2,4,6,4,2,0,3,5,23,-2,1
22022,1627783,0022200776,"FEB 01, 2023",TOR @ UTA,L,39,9,22,0.409,0,0,0.0,3,6,0.5,5,5,10,5,0,0,3,6,21,-8,1
22022,1627783,0022200762,"JAN 30, 2023",TOR @ PHX,L,38,7,17,0.412,1,4,0.25,4,4,1.0,1,2,3,1,0,0,3,4,19,1,1
22022,1627783,0022200751,"JAN 28, 2023",TOR @ POR,W,39,9,17,0.529,1,2,0.5,5,5,1.0,0,3,3,4,0,0,1,4,24,17,1
22022,1627783,0022200740,"JAN 27, 2023",TOR @ GSW,L,40,8,26,0.308,1,6,0.167,4,5,0.8,2,5,7,3,0,0,0,4,21,-7,1
22022,1627783,0022200728,"JAN 25, 2023",TOR @ SAC,W,35,11,24,0.458,2,8,0.25,2,2,1.0,4,7,11,7,2,2,1,1,26,15,1
22022,1627783,0022200700,"JAN 22, 2023",TOR vs. NYK,W,34,9,21,0.429,3,6,0.5,3,6,0.5,3,4,7,6,1,1,1,4,24,-8,1
22022,1627783,0022200692,"JAN 21, 2023",TOR vs. BOS,L,43,14,23,0.609,0,4,0.0,1,2,0.5,1,8,9,10,0,1,6,4,29,10,1
22022,1627783,0022200680,"JAN 19, 2023",TOR @ MIN,L,41,6,16,0.375,0,0,0.0,1,2,0.5,1,6,7,9,0,1,4,2,13,0,1
22022,1627783,0022200665,"JAN 17, 2023",TOR @ MIL,L,40,8,13,0.615,1,4,0.25,6,11,0.545,3,6,9,3,0,1,4,1,23,-17,1
22022,1627783,0022200659,"JAN 16, 2023",TOR @ NYK,W,46,7,19,0.368,0,7,0.0,6,7,0.857,2,6,8,9,0,3,1,6,20,9,1
22022,1627783,0022200644,"JAN 14, 2023",TOR vs. ATL,L,34,5,16,0.313,0,4,0.0,5,7,0.714,1,6,7,6,0,1,3,6,15,-13,1
22022,1627783,0022200629,"JAN 12, 2023",TOR vs. CHA,W,38,11,13,0.846,3,3,1.0,10,12,0.833,1,6,7,3,0,1,4,2,35,6,1
22022,1627783,0022200613,"JAN 10, 2023",TOR vs. CHA,W,36,10,16,0.625,2,6,0.333,6,9,0.667,3,5,8,7,0,0,3,1,28,3,1
22022,1627783,0022200597,"JAN 08, 2023",TOR vs. POR,W,38,8,19,0.421,2,4,0.5,9,11,0.818,2,2,4,6,2,1,4,3,27,11,1
22022,1627783,0022200582,"JAN 06, 2023",TOR vs. NYK,L,40,4,14,0.286,1,4,0.25,9,11,0.818,4,9,13,5,0,0,5,4,18,1,1
22022,1627783,0022200569,"JAN 04, 2023",TOR vs. MIL,L,40,4,18,0.222,0,2,0.0,3,4,0.75,4,4,8,4,0,1,3,5,11,1,1
22022,1627783,0022200553,"JAN 02, 2023",TOR @ IND,L,39,9,17,0.529,2,4,0.5,6,7,0.857,1,6,7,7,0,0,3,3,26,-6,1
22022,1627783,0022200531,"DEC 30, 2022",TOR vs. PHX,W,41,8,17,0.471,2,5,0.4,8,10,0.8,2,0,2,6,0,0,2,5,26,23,1
22022,1627783,0022200526,"DEC 29, 2022",TOR vs. MEM,L,38,8,19,0.421,0,1,0.0,9,11,0.818,2,8,10,4,2,1,1,6,25,-24,1
22022,1627783,0022200509,"DEC 27, 2022",TOR vs. LAC,L,41,13,24,0.542,0,4,0.0,10,15,0.667,2,7,9,5,1,1,2,2,36,-1,1
22022,1627783,0022200484,"DEC 23, 2022",TOR @ CLE,W,42,9,22,0.409,2,5,0.4,6,8,0.75,2,5,7,9,2,1,5,4,26,1,1
22022,1627783,0022200471,"DEC 21, 2022",TOR @ NYK,W,41,17,25,0.68,2,6,0.333,16,18,0.889,3,6,9,7,1,0,1,2,52,8,1
22022,1627783,0022200453,"DEC 19, 2022",TOR @ PHI,L,48,13,27,0.481,3,8,0.375,9,11,0.818,0,15,15,6,1,0,5,2,38,3,1
22022,1627783,0022200448,"DEC 18, 2022",TOR vs. GSW,L,37,9,20,0.45,3,5,0.6,6,7,0.857,2,3,5,5,0,0,1,2,27,-17,1
22022,1627783,0022200433,"DEC 16, 2022",TOR vs. BKN,L,37,7,15,0.467,1,2,0.5,2,2,1.0,3,4,7,5,1,0,3,4,17,-9,1
22022,1627783,0022200417,"DEC 14, 2022",TOR vs. SAC,L,43,7,19,0.368,1,1,1.0,4,6,0.667,1,3,4,6,0,0,1,4,19,-5,1
22022,1627783,0022200398,"DEC 11, 2022",TOR @ ORL,L,38,6,16,0.375,0,4,0.0,7,9,0.778,1,5,6,7,1,1,4,4,19,-4,1
22022,1627783,0022200379,"DEC 09, 2022",TOR @ ORL,L,38,13,27,0.481,2,9,0.222,8,9,0.889,3,6,9,7,1,1,1,2,36,12,1
22022,1627783,0022200366,"DEC 07, 2022",TOR vs. LAL,W,32,10,20,0.5,1,4,0.25,4,5,0.8,2,8,10,7,2,0,2,4,25,22,1
22022,1627783,0022200355,"DEC 05, 2022",TOR vs. BOS,L,39,9,20,0.45,2,4,0.5,9,13,0.692,2,6,8,7,0,0,2,4,29,-9,1
22022,1627783,0022200340,"DEC 03, 2022",TOR vs. ORL,W,31,9,15,0.6,1,4,0.25,7,7,1.0,2,6,8,10,3,0,1,1,26,25,1
22022,1627783,0022200329,"DEC 02, 2022",TOR @ BKN,L,32,7,15,0.467,1,2,0.5,9,11,0.818,1,6,7,4,1,0,0,5,24,-5,1
22022,1627783,0022200318,"NOV 30, 2022",TOR @ NOP,L,34,9,16,0.563,1,2,0.5,4,5,0.8,2,4,6,4,2,2,5,3,23,-12,1
22022,1627783,0022200303,"NOV 28, 2022",TOR vs. CLE,W,30,7,14,0.5,1,3,0.333,3,4,0.75,1,10,11,5,0,0,2,4,18,5,1
22022,1627783,0022200127,"NOV 04, 2022",TOR @ DAL,L,31,7,14,0.5,0,2,0.0,4,6,0.667,4,3,7,6,1,0,2,3,18,-7,1
22022,1627783,0022200114,"NOV 02, 2022",TOR @ SAS,W,28,10,19,0.526,1,5,0.2,1,1,1.0,1,9,10,11,1,0,3,3,22,26,1
22022,1627783,0022200099,"OCT 31, 2022",TOR vs. ATL,W,35,8,21,0.381,2,3,0.667,13,16,0.813,3,9,12,6,0,2,0,3,31,30,1
22022,1627783,0022200073,"OCT 28, 2022",TOR vs. PHI,L,36,9,15,0.6,1,3,0.333,7,9,0.778,2,8,10,6,0,0,5,3,26,-7,1
22022,1627783,0022200059,"OCT 26, 2022",TOR vs. PHI,W,38,7,16,0.438,4,8,0.5,2,4,0.5,0,5,5,13,0,0,1,1,20,7,1
22022,1627783,0022200045,"OCT 24, 2022",TOR @ MIA,W,42,7,22,0.318,2,6,0.333,7,8,0.875,0,9,9,6,2,2,5,1,23,10,1
22022,1627783,0022200031,"OCT 22, 2022",TOR @ MIA,L,40,8,19,0.421,0,2,0.0,7,8,0.875,1,7,8,9,1,1,1,4,23,-5,1
22022,1627783,0022200021,"OCT 21, 2022",TOR @ BKN,L,37,15,21,0.714,2,6,0.333,5,9,0.556,2,10,12,11,0,0,3,4,37,2,1
22022,1627783,0022200008,"OCT 19, 2022",TOR vs. CLE,W,34,9,20,0.45,1,3,0.333,4,8,0.5,3,8,11,1,3,0,4,6,23,-1,1
